placeID;parking_lot;Restcuisine
132023;fee;Dutch-Belgian
132023;fee;French
132026;fee;Dutch-Belgian
132155;fee;French
132155;fee;Mediterranean
132164;fee;International
132206;fee;International
132220;fee;French
132355;fee;Greek
132396;fee;International
132399;fee;Cafe-Coffee_Shop
132437;fee;Mediterranean
132478;fee;German
132481;fee;German
132483;fee;Armenian
132483;fee;German
132483;fee;Persian
132521;fee;Dutch-Belgian
132521;fee;French
132530;fee;Cafe-Coffee_Shop
132530;fee;Dutch-Belgian
132756;fee;Italian
132798;fee;Mexican
132799;fee;Armenian
132817;fee;
132818;fee;
132820;fee;
135091;fee;Japanese
135091;fee;Sushi
132468;none;German
132478;none;German
132561;none;
132562;none;
132563;none;
132564;none;
132565;none;
132566;none;
132567;none;
132568;none;
132569;none;
132570;none;
132571;none;
132573;none;Hot_Dogs
132576;none;Fast_Food
132577;none;Fast_Food
132578;none;Mexican
132579;none;Fast_Food
132580;none;Mexican
132581;none;Dessert-Ice_Cream
132583;none;American
132591;none;Mexican
132592;none;Mexican
132595;none;Mexican
132596;none;Mexican
132604;none;Cafeteria
132606;none;American
132607;none;Mexican
132614;none;Mexican
132615;none;Mexican
132621;none;Mexican
132623;none;Mexican
132628;none;Italian
132630;none;Mexican
132631;none;Mexican
132632;none;Mexican
132633;none;
132634;none;Mexican
132637;none;Mexican
132639;none;
132641;none;
132642;none;African
132643;none;Mexican
132644;none;
132646;none;Mexican
132647;none;
132648;none;African
132649;none;Mexican
132651;none;
132652;none;Mexican
132654;none;
132656;none;
132657;none;Mexican
132659;none;
132660;none;
132661;none;
132662;none;Mexican
132663;none;Mexican
132664;none;Mexican
132665;none;Mexican
132666;none;Mexican
132667;none;Armenian
132668;none;Mexican
132669;none;Mexican
132670;none;Mexican
132671;none;Armenian
132672;none;Mexican
132673;none;Mexican
132674;none;American
132675;none;Mexican
132676;none;Armenian
132677;none;Mexican
132678;none;Mexican
132679;none;American
132688;none;Mexican
132690;none;Mexican
132694;none;Mexican
132703;none;Mexican
132708;none;Mexican
132713;none;American
132714;none;Mexican
132715;none;Mexican
132716;none;
132718;none;Hot_Dogs
132719;none;Hot_Dogs
132720;none;
132721;none;
132725;none;Fast_Food
132729;none;
132730;none;
132731;none;
132732;none;Mexican
132734;none;Pizzeria
132740;none;Mexican
132742;none;Mexican
132743;none;Mexican
132744;none;Mexican
132748;none;Mexican
132749;none;Mexican
132752;none;Cafeteria
132754;none;Mexican
132757;none;Mexican
132758;none;Mexican
132759;none;
132760;none;Mexican
132762;none;
132765;none;Mexican
132768;none;Family
132769;none;Mexican
132773;none;Family
132773;none;Mexican
132775;none;Mexican
132776;none;Mexican
132778;none;Mexican
132794;none;Vegetarian
132795;none;American
132802;none;Chinese
132803;none;Chinese
132809;none;
132810;none;Vegetarian
132812;none;
132813;none;
132816;none;
132822;none;
132823;none;
132825;none;Mexican
132827;none;Mexican
132829;none;Mexican
132830;none;
132831;none;
132832;none;
132833;none;Mexican
132836;none;Mexican
132837;none;Mexican
132838;none;Mexican
132839;none;Mexican
132840;none;Mexican
132841;none;Mexican
132842;none;Mexican
132844;none;
132845;none;Mexican
132846;none;International
132847;none;
132848;none;
132849;none;
132853;none;Fast_Food
132855;none;Mexican
132856;none;Italian
132857;none;International
132858;none;Burgers
132870;none;Burgers
132873;none;American
132874;none;
132876;none;
132877;none;
