activity;birth_year;budget;drink_level;marital_status;Rcuisine;smoker;transport;Upayment;userID;weight
;1930;;abstemious;;Afghan;;;;U1024;40
;1930;;abstemious;;Afghan;;;;U1122;40
;1981;;abstemious;;Mexican;false;;cash;U1083;40
;1989;;abstemious;;Mexican;;;;U1130;40
;1992;medium;abstemious;single;Mexican;false;public;cash;U1079;53
;1989;high;abstemious;single;Mexican;false;car owner;bank_debit_cards;U1107;87
;1989;high;abstemious;single;Mexican;false;car owner;cash;U1107;87
;1990;medium;abstemious;single;Game;false;public;cash;U1092;70
professional;1940;medium;abstemious;single;Bagels;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Bagels;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Bakery;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Bakery;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Breakfast-Brunch;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Breakfast-Brunch;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Cafe-Coffee_Shop;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Cafe-Coffee_Shop;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Cafeteria;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Cafeteria;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Contemporary;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Contemporary;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Continental-European;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Continental-European;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Japanese;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Japanese;false;public;cash;U1004;44
professional;1940;medium;abstemious;single;Mexican;false;public;bank_debit_cards;U1004;44
professional;1940;medium;abstemious;single;Mexican;false;public;cash;U1004;44
professional;1952;medium;abstemious;married;Breakfast-Brunch;false;car owner;cash;U1055;70
professional;1967;medium;casual drinker;single;Sushi;true;car owner;bank_debit_cards;U1074;68
professional;1967;medium;casual drinker;single;Sushi;true;car owner;cash;U1074;68
professional;1969;medium;social drinker;married;Mexican;true;car owner;bank_debit_cards;U1044;85
professional;1969;medium;social drinker;married;Mexican;true;car owner;cash;U1044;85
professional;1969;medium;social drinker;married;Mexican;true;car owner;MasterCard-Eurocard;U1044;85
professional;1969;medium;social drinker;married;Mexican;true;car owner;VISA;U1044;85
professional;1979;medium;casual drinker;single;Mexican;false;public;cash;U1051;74
professional;1979;medium;casual drinker;single;Mexican;false;public;VISA;U1051;74
professional;1983;medium;social drinker;single;Mexican;false;public;cash;U1069;60
professional;1983;medium;social drinker;single;Mexican;false;public;MasterCard-Eurocard;U1069;60
professional;1991;medium;casual drinker;single;Chinese;false;public;cash;U1017;79
professional;1991;medium;casual drinker;single;Chinese;false;public;VISA;U1017;79
professional;1930;medium;casual drinker;single;Barbecue;false;car owner;bank_debit_cards;U1106;65
professional;1930;medium;casual drinker;single;Barbecue;false;car owner;cash;U1106;65
professional;1982;medium;abstemious;single;Turkish;false;public;bank_debit_cards;U1117;58
professional;1982;medium;abstemious;single;Turkish;false;public;cash;U1117;58
professional;1982;medium;abstemious;single;Mexican;false;public;bank_debit_cards;U1020;40
professional;1982;medium;abstemious;single;Mexican;false;public;cash;U1020;40
professional;1982;medium;abstemious;widow;Japanese;false;public;cash;U1013;80
professional;1982;medium;abstemious;widow;Japanese;false;public;MasterCard-Eurocard;U1013;80
professional;1985;medium;abstemious;single;Contemporary;false;on foot;American_Express;U1041;40
professional;1985;medium;abstemious;single;Contemporary;false;on foot;bank_debit_cards;U1041;40
professional;1985;medium;abstemious;single;Contemporary;false;on foot;cash;U1041;40
professional;1985;medium;abstemious;single;Contemporary;false;on foot;VISA;U1041;40
professional;1989;medium;abstemious;single;Mexican;false;public;bank_debit_cards;U1103;120
professional;1989;medium;abstemious;single;Mexican;false;public;cash;U1103;120
professional;1990;medium;social drinker;single;Mexican;false;car owner;bank_debit_cards;U1061;40
professional;1990;medium;social drinker;single;Mexican;false;car owner;cash;U1061;40
professional;1983;medium;social drinker;single;Mexican;true;car owner;bank_debit_cards;U1078;69
professional;1983;medium;social drinker;single;Mexican;true;car owner;cash;U1078;69
professional;1983;medium;social drinker;single;Mexican;true;car owner;VISA;U1078;69
student;1988;medium;casual drinker;single;Mexican;true;public;cash;U1048;65
student;1989;low;social drinker;single;Family;true;public;cash;U1027;60
student;1930;low;social drinker;single;Mexican;true;public;cash;U1038;97
student;1930;medium;social drinker;single;Mexican;false;on foot;cash;U1056;61
student;1943;high;abstemious;single;Mexican;false;car owner;bank_debit_cards;U1042;40
student;1984;medium;social drinker;single;Burgers;false;car owner;cash;U1021;108
student;1984;medium;social drinker;single;Chinese;false;car owner;cash;U1021;108
student;1984;medium;social drinker;single;Pizzeria;false;car owner;cash;U1021;108
student;1984;medium;social drinker;single;Regional;false;car owner;cash;U1021;108
student;1984;medium;casual drinker;single;Mexican;false;public;bank_debit_cards;U1072;50
student;1984;medium;casual drinker;single;Mexican;false;public;cash;U1072;50
student;1986;medium;abstemious;married;Italian;false;public;cash;U1095;65
student;1987;medium;social drinker;married;Mexican;false;public;bank_debit_cards;U1076;65
student;1987;medium;social drinker;married;Mexican;false;public;bank_debit_cards;U1077;65
student;1987;medium;social drinker;married;Mexican;false;public;cash;U1076;65
student;1987;medium;social drinker;married;Mexican;false;public;cash;U1077;65
student;1987;medium;social drinker;married;Mexican;false;public;VISA;U1076;65
student;1987;medium;social drinker;married;Mexican;false;public;VISA;U1077;65
student;1987;medium;social drinker;married;Mexican;false;public;bank_debit_cards;U1116;40
student;1987;medium;social drinker;married;Mexican;false;public;cash;U1116;40
student;1987;medium;social drinker;married;Mexican;false;public;VISA;U1116;40
student;1987;medium;abstemious;single;Mexican;false;;cash;U1123;110
student;1987;medium;abstemious;single;Mexican;false;public;cash;U1067;92
student;1988;low;casual drinker;single;Afghan;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;African;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;American;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Armenian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Asian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Australian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Austrian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Bagels;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Bakery;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Bar;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Bar_Pub_Brewery;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Barbecue;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Basque;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Brazilian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Breakfast-Brunch;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;British;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Burgers;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Burmese;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Cafe-Coffee_Shop;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Cafeteria;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Cajun-Creole;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;California;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Cambodian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Canadian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Caribbean;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Chilean;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Chinese;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Contemporary;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Continental-European;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Cuban;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Deli-Sandwiches;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Dessert-Ice_Cream;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Dim_Sum;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Diner;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Doughnuts;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Dutch-Belgian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Eastern_European;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Eclectic;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Ethiopian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Family;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Fast_Food;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Filipino;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Fine_Dining;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;French;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Fusion;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Game;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;German;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Greek;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Hawaiian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Hot_Dogs;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Hungarian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Indian-Pakistani;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Indigenous;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Indonesian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;International;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Irish;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Israeli;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Italian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Jamaican;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Japanese;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Juice;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Korean;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Kosher;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Latin_American;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Lebanese;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Malaysian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Mediterranean;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Mexican;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Middle_Eastern;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Mongolian;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;Moroccan;false;on foot;cash;U1135;66
student;1988;low;casual drinker;single;North_African;false;on foot;cash;U1135;66
